'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'AlternatePrecedence(Request For Payment APPROVED by ADMINISTRATION, Request For Payment APPROVED by BUDGET OWNER)';'AlternatePrecedence';'Request For Payment APPROVED by BUDGET OWNER';'Request For Payment APPROVED by ADMINISTRATION';1.000;0.814;0.272
'AlternatePrecedence(Request For Payment SUBMITTED by EMPLOYEE, Request For Payment APPROVED by BUDGET OWNER)';'AlternatePrecedence';'Request For Payment APPROVED by BUDGET OWNER';'Request For Payment SUBMITTED by EMPLOYEE';1.000;0.990;0.331
'AtMost1(Request For Payment FINAL_APPROVED by SUPERVISOR)';'AtMost1';'Request For Payment FINAL_APPROVED by SUPERVISOR';;1.000;0.933;0.870
'NotChainSuccession(Request For Payment FINAL_APPROVED by SUPERVISOR, Permit FINAL_APPROVED by SUPERVISOR)';'NotChainSuccession';'Request For Payment FINAL_APPROVED by SUPERVISOR';'Permit FINAL_APPROVED by SUPERVISOR';0.985;0.693;0.646
'NotChainSuccession(Request For Payment FINAL_APPROVED by SUPERVISOR, Permit SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Request For Payment FINAL_APPROVED by SUPERVISOR';'Permit SUBMITTED by EMPLOYEE';1.000;0.886;0.826
'NotSuccession(Request For Payment FINAL_APPROVED by SUPERVISOR, Request For Payment APPROVED by ADMINISTRATION)';'NotSuccession';'Request For Payment FINAL_APPROVED by SUPERVISOR';'Request For Payment APPROVED by ADMINISTRATION';1.000;0.814;0.760
'NotSuccession(Request For Payment FINAL_APPROVED by SUPERVISOR, Request For Payment SUBMITTED by EMPLOYEE)';'NotSuccession';'Request For Payment FINAL_APPROVED by SUPERVISOR';'Request For Payment SUBMITTED by EMPLOYEE';1.000;0.933;0.923
'AtLeast1(Request For Payment SUBMITTED by EMPLOYEE)';'AtLeast1';'Request For Payment SUBMITTED by EMPLOYEE';;0.990;0.979;0.969
'AtMost3(Request For Payment SUBMITTED by EMPLOYEE)';'AtMost3';'Request For Payment SUBMITTED by EMPLOYEE';;0.999;0.989;0.978
'Response(Request For Payment SUBMITTED by EMPLOYEE, Payment Handled)';'Response';'Request For Payment SUBMITTED by EMPLOYEE';'Payment Handled';0.959;0.949;0.899
'NotChainSuccession(Request For Payment SUBMITTED by EMPLOYEE, Permit FINAL_APPROVED by SUPERVISOR)';'NotChainSuccession';'Request For Payment SUBMITTED by EMPLOYEE';'Permit FINAL_APPROVED by SUPERVISOR';0.996;0.701;0.693
'NotChainSuccession(Request For Payment SUBMITTED by EMPLOYEE, Permit SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Request For Payment SUBMITTED by EMPLOYEE';'Permit SUBMITTED by EMPLOYEE';1.000;0.886;0.876
'AtMost1(Request Payment)';'AtMost1';'Request Payment';;1.000;0.948;0.899
'NotChainSuccession(Request Payment, Permit FINAL_APPROVED by SUPERVISOR)';'NotChainSuccession';'Request Payment';'Permit FINAL_APPROVED by SUPERVISOR';0.998;0.702;0.665
'NotChainSuccession(Request Payment, Permit SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Request Payment';'Permit SUBMITTED by EMPLOYEE';1.000;0.886;0.840
'NotSuccession(Request Payment, Request For Payment FINAL_APPROVED by SUPERVISOR)';'NotSuccession';'Request Payment';'Request For Payment FINAL_APPROVED by SUPERVISOR';1.000;0.933;0.884
